***;,???,
am;,AM,
and;,AND,
angry;,mad,furious,irate,livid,
beautiful;,pretty,attractive,gorgeous,
big;,large,huge,enormous,
brave;,courageous,fearless,valiant,bold,
clean;,tidy,neat,spotless,immaculate,
cold;,chilly,freezing,frosty,icy,
difficult;,hard,challenging,tough,arduous,
dirty;,filthy,grimy,soiled,unclean,
easy;,simple,effortless,uncomplicated,straightforward,
fast;,quick,rapid,speedy,swift,
friendly;,amiable,affable,sociable,cordial,
funny;,humorous,amusing,comical,entertaining,
happy;,joyful,cheerful,delighted,elated,
hot;,warm,scorching,boiling,blistering,
lovely;,attractive,
mean;,unkind,cruel,malicious,nasty,
new;,fresh,recent,novel,innovative,
old;,ancient,aged,antique,vintage,
poor;,needy,impoverished,destitute,indigent,
rich;,wealthy,affluent,prosperous,opulent,
sad;,unhappy,sorrowful,dejected,mournful,
scared;,afraid,frightened,terrified,petrified,
serious;,solemn,grave,earnest,sober,
slow;,sluggish,leisurely,unhurried,gradual,
small;,tiny,little,petite,minuscule,
smart;,intelligent,clever,bright,brainy,
so;,Sooo,
strong;,powerful,robust,sturdy,muscular,
stupid;,dumb,foolish,unintelligent,dense,
ugly;,unattractive,hideous,unsightly,repulsive,
weak;,feeble,frail,delicate,flimsy,
